game_id,club_id,own_goals,own_position,opponent_id,opponent_goals,opponent_position,result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,away_win_h2h,draw_h2h,home_win_h2h_d,away_win_h2h_d,home_home_win,away_away_win,home_last_5_game_win,home_last_5_game_lose,home_last_5_game_draw,away_last_5_game_win,away_last_5_game_lose,away_last_5_game_draw,date
2698421,29,4,7.0,3008,0,19.0,1,413.0,0.0,16.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8,0.0,0.6,0.2,0.2,0.0,1.0,0.0,2017-03-18
2225785,29,1,6.0,931,0,11.0,1,413.0,0.0,394.0,0.0,0.1666666666666666,0.0,0.3846153846153846,0.3846153846153846,0.2307692307692307,0.2307692307692307,0.1538461538461538,0.8,0.2,0.4,0.2,0.4,0.2,0.6,0.2,2013-04-27
2332125,29,2,7.0,3008,1,9.0,1,413.0,0.0,16.0,0.0,0.2857142857142857,0.1111111111111111,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.8,0.4,0.6,0.2,0.2,0.2,0.6,0.2,2013-10-19
3219303,29,0,15.0,11,0,11.0,2,413.0,0.2,1169.0,0.4,0.0,0.0,0.2916666666666667,0.5,0.2083333333333333,0.25,0.0416666666666666,0.4,0.2,0.2,0.6,0.2,0.2,0.4,0.4,2019-12-21
2486673,29,1,12.0,281,1,2.0,2,413.0,0.0,1351.0,0.0,0.0833333333333333,0.5,0.08,0.68,0.24,0.08,0.0,0.2,1.0,0.0,0.8,0.2,0.4,0.4,0.2,2015-01-10
4095150,29,3,20.0,989,0,18.0,1,413.0,1.0,414.0,0.8,0.15,0.0,0.4375,0.4375,0.125,0.375,0.0625,0.2,0.2,0.4,0.4,0.2,0.2,0.6,0.2,2023-10-07
2332062,29,4,5.0,512,0,16.0,1,413.0,0.0,19.0,0.0,0.8,0.0,0.5,0.25,0.25,0.3333333333333333,0.1666666666666666,0.6,0.2,0.4,0.0,0.6,0.0,0.4,0.6,2013-11-30
2698327,29,3,7.0,984,0,8.0,1,413.0,0.0,64.0,0.0,0.4285714285714285,0.0,0.5,0.1428571428571428,0.3571428571428571,0.2142857142857142,0.2857142857142857,0.8,0.2,0.4,0.2,0.4,0.0,0.6,0.4,2017-03-11
2872252,29,4,13.0,379,0,18.0,1,413.0,0.2,489.0,0.0,0.3076923076923077,0.0,0.5,0.3461538461538461,0.1538461538461538,0.2692307692307692,0.2307692307692307,0.2,0.0,0.2,0.6,0.2,0.0,0.8,0.2,2017-11-29
2486681,29,0,12.0,984,0,14.0,2,413.0,0.0,64.0,0.0,0.0,0.0,0.5,0.1428571428571428,0.3571428571428571,0.2142857142857142,0.2857142857142857,0.2,0.0,0.0,0.6,0.4,0.0,0.4,0.6,2015-01-19
2225469,29,2,7.0,762,2,12.0,2,413.0,0.0,696.0,0.0,0.2857142857142857,0.1666666666666666,0.5,0.3181818181818182,0.1818181818181818,0.2727272727272727,0.2272727272727272,0.2,0.0,0.4,0.2,0.0,0.0,0.4,0.2,2012-09-17
4095198,29,0,18.0,985,3,6.0,0,413.0,0.6,793.0,0.6,0.0,0.5,0.2307692307692307,0.5384615384615384,0.2307692307692307,0.1923076923076923,0.0384615384615384,0.4,0.6,0.6,0.2,0.2,0.4,0.4,0.2,2023-11-26
2872216,29,3,15.0,1010,2,9.0,1,413.0,0.2,55.0,0.0,0.2,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0833333333333333,0.2,0.6,0.0,0.8,0.2,0.0,0.8,0.2,2017-11-05
